,inv1819,inv1920,inv2021,inv2122,inv2223,inv2324,week
1542,0.47,12.56,4.86,4.38,1.58,,10
1543,0.61,12.75,6.07,3.73,1.46,,10
1544,1.67,13.38,7.01,4.46,1.9,,10
1545,3.33,14.47,7.73,5.87,2.99,,10
1546,5.75,15.63,8.6,8.43,4.19,,10
1547,7.49,17.09,9.31,9.86,5.2,,10
1548,7.94,16.26,9.21,10.85,5.35,,10
1549,8.52,15.46,9.78,11.23,5.52,,10
1550,8.45,14.96,9.87,10.95,5.15,,10
1551,6.74,14.51,9.72,10.22,3.61,,10
1552,4.4,13.93,9.17,6.09,2.28,,10
1553,3.13,13.66,8.68,2.16,1.74,,10
1554,2.62,13.21,8.33,0.5,1.5,,10
1555,2.51,12.76,7.87,-0.65,1.08,,10
1556,2.63,12.21,7.52,-1.03,1.22,,10
1557,2.85,11.7,7.11,-1.59,1.16,,10
1558,2.17,11.66,5.42,-2.2,1.18,,10
1559,2.2,11.92,3.78,-2.45,0.97,,10
1560,2.25,11.48,2.94,-2.61,1.2,,10
1561,2.46,11.57,4.06,-2.82,0.98,,10
1562,2.41,11.64,4.59,-2.92,0.53,,10
1563,2.37,12.02,5.2,-3.53,0.79,,10
1564,1.67,12.48,5.34,-3.42,0.68,,10
1565,-0.0,12.45,5.39,-2.55,0.06,,10
1566,0.6,12.55,5.27,-2.9,0.25,,10
1567,0.79,12.46,5.45,-3.48,0.05,,10
1568,1.54,12.86,5.84,-1.96,0.94,,10
1569,3.86,13.39,7.08,2.68,3.66,,10
1570,5.37,15.1,9.01,8.63,5.61,,10
1571,6.39,15.99,11.18,10.46,7.24,,10
1572,7.15,15.21,12.26,10.08,7.98,,10
1573,7.91,15.09,12.76,10.01,8.74,,10
1574,6.38,14.75,11.14,9.22,7.61,,10
1575,4.86,14.42,10.04,5.84,5.84,,10
1576,3.62,13.48,9.11,4.75,3.11,,10
1577,2.57,12.63,8.42,4.22,0.84,,10
1578,1.44,11.98,7.93,3.12,-0.25,,10
1579,1.82,11.5,6.75,2.67,-0.65,,10
1580,2.09,10.95,6.19,1.87,-0.87,,10
1581,2.1,11.23,6.3,1.18,-1.14,,10
1582,2.11,11.89,5.85,1.17,-1.27,,10
1583,2.59,11.76,5.82,0.61,-1.5,,10
1584,2.87,11.55,5.78,0.65,-1.62,,10
1585,2.95,11.15,6.02,-0.48,-2.01,,10
1586,3.34,10.97,6.23,-1.45,-2.13,,10
1587,4.1,10.76,6.28,-2.16,-2.18,,10
1588,5.42,10.54,7.12,-2.12,-2.05,,10
1589,5.6,10.22,7.11,0.42,-2.36,,10
1590,5.11,10.07,7.11,2.15,-1.81,,10
1591,4.93,9.98,7.24,3.55,-0.6,,10
1592,4.76,9.99,7.53,4.51,0.55,,10
1593,5.21,10.92,8.55,6.42,1.78,,10
1594,5.07,11.81,9.1,7.85,3.09,,10
1595,5.61,12.54,9.46,9.34,4.44,,10
1596,6.2,12.4,9.63,10.21,5.98,,10
1597,5.91,12.53,9.46,10.33,6.17,,10
1598,5.91,12.03,9.14,10.04,6.25,,10
1599,5.86,11.58,8.98,9.02,6.29,,10
1600,5.91,11.21,8.62,6.74,6.01,,10
1601,5.99,10.94,8.36,5.88,5.56,,10
1602,5.98,10.83,8.17,5.55,5.27,,10
1603,5.75,10.83,8.05,5.18,5.24,,10
1604,5.28,10.82,7.71,4.73,5.1,,10
1605,4.95,10.82,7.65,4.79,5.05,,10
1606,4.9,11.11,7.34,4.16,5.55,,10
1607,4.91,11.91,6.89,3.93,5.96,,10
1608,4.93,12.42,7.1,3.75,5.89,,10
1609,4.65,12.35,6.79,3.83,5.66,,10
1610,4.08,12.75,6.43,3.42,5.51,,10
1611,4.47,12.86,6.46,3.14,5.27,,10
1612,4.61,12.82,6.64,3.05,5.0,,10
1613,4.37,12.44,6.88,3.39,4.95,,10
1614,3.87,12.44,7.08,3.35,5.21,,10
1615,3.71,12.44,7.11,3.28,5.62,,10
1616,3.97,12.08,7.36,3.58,5.78,,10
1617,4.58,11.86,7.66,4.21,6.29,,10
1618,4.74,12.06,8.2,4.55,6.74,,10
1619,4.92,12.38,8.52,4.81,7.24,,10
1620,4.88,13.17,9.28,4.83,6.89,,10
1621,4.96,14.13,9.69,3.59,6.89,,10
1622,4.96,14.2,9.96,2.77,6.86,,10
1623,4.84,12.56,9.79,1.68,6.68,,10
1624,4.62,10.76,9.49,1.42,6.8,,10
1625,4.56,10.45,9.21,1.37,6.8,,10
1626,4.33,9.74,8.85,1.36,6.81,,10
1627,4.32,9.56,8.67,1.72,6.98,,10
1628,4.35,9.56,8.59,1.9,7.1,,10
1629,4.59,9.56,8.65,1.9,7.19,,10
1630,4.61,8.93,8.58,2.08,7.45,,10
1631,4.62,9.34,8.59,2.32,7.66,,10
1632,4.62,9.02,8.37,2.18,7.32,,10
1633,4.65,8.52,8.41,2.42,6.57,,10
1634,4.74,8.79,8.36,2.44,6.41,,10
1635,4.87,8.94,8.36,2.37,6.4,,10
1636,4.91,9.68,8.17,2.49,6.39,,10
1637,4.94,9.48,8.04,2.32,6.22,,10
1638,5.04,9.54,7.8,2.1,6.17,,10
1639,5.56,8.97,7.69,2.1,6.18,,10
1640,5.85,8.86,8.01,2.09,6.43,,10
1641,5.85,8.15,8.66,2.1,6.62,,10
1642,5.94,8.18,9.31,2.62,6.54,,10
1643,5.97,8.94,8.95,4.72,6.6,,10
1644,5.86,9.55,9.09,5.03,7.01,,10
1645,5.86,8.33,9.55,4.89,6.87,,10
1646,6.0,7.16,9.39,3.42,6.79,,10
1647,6.55,6.39,8.95,2.52,6.75,,10
1648,6.83,6.19,8.69,2.07,6.81,,10
1649,6.41,6.61,8.49,2.24,6.82,,10
1650,6.2,7.24,8.43,2.37,6.81,,10
1651,6.19,6.95,8.37,2.29,6.85,,10
1652,6.2,6.56,8.25,2.18,7.12,,10
1653,6.3,6.4,8.26,2.13,7.7,,10
1654,6.36,4.96,7.46,2.11,7.64,,10
1655,6.43,5.53,7.11,2.1,7.69,,10
1656,6.47,6.38,7.1,2.1,8.01,,10
1657,6.48,6.55,7.11,2.09,7.77,,10
1658,6.54,6.15,7.12,1.93,7.83,,10
1659,6.43,5.99,7.18,1.87,8.05,,10
1660,6.39,5.87,7.27,2.0,8.15,,10
1661,6.41,4.8,7.33,2.07,8.31,,10
1662,6.12,3.98,7.36,2.33,8.36,,10
1663,4.66,3.71,7.39,2.63,8.28,,10
1664,3.56,4.48,7.4,2.72,8.2,,10
1665,5.43,7.67,7.47,4.06,7.98,,10
1666,7.06,10.96,7.9,4.94,8.34,,10
1667,7.52,13.02,7.99,5.21,8.57,,10
1668,7.9,11.27,8.18,5.65,7.66,,10
1669,7.68,11.31,8.32,5.66,7.11,,10
1670,8.12,11.68,8.36,5.2,7.27,,10
1671,7.56,10.18,8.27,4.73,7.4,,10
1672,7.11,8.18,8.21,4.49,7.29,,10
1673,6.91,6.6,8.17,4.01,7.39,,10
1674,6.6,5.07,8.07,3.7,7.39,,10
1675,6.47,3.99,8.06,3.69,7.37,,10
1676,6.42,2.63,8.0,3.69,7.35,,10
1677,6.23,1.43,7.74,3.69,7.39,,10
1678,5.9,0.94,7.7,3.69,7.39,,10
1679,5.86,0.19,7.75,3.73,7.39,,10
1680,5.84,-0.3,7.7,4.2,7.39,,11
1681,5.8,-0.58,7.48,4.29,7.39,,11
1682,5.6,-1.0,7.4,4.02,7.4,,11
1683,5.66,-1.16,7.4,4.13,7.4,,11
1684,5.53,-1.26,7.41,4.53,7.4,,11
1685,5.56,-1.48,7.48,4.55,7.4,,11
1686,5.52,-1.83,7.41,4.61,7.42,,11
1687,5.3,-1.42,7.41,4.61,7.41,,11
1688,5.33,-0.25,7.53,4.62,7.63,,11
1689,5.29,3.72,7.7,4.64,8.01,,11
1690,6.12,9.5,7.73,4.76,8.12,,11
1691,7.48,12.4,8.11,4.93,8.29,,11
1692,9.6,12.33,8.34,4.99,8.38,,11
1693,10.38,10.75,8.49,4.96,9.4,,11
1694,10.15,10.08,8.47,4.89,9.47,,11
1695,11.21,8.58,8.38,4.9,9.07,,11
1696,8.42,6.53,8.36,4.89,8.18,,11
1697,7.7,4.31,8.36,4.93,7.35,,11
1698,7.59,1.97,8.36,5.03,7.36,,11
1699,7.45,0.82,8.36,4.94,7.46,,11
1700,7.22,1.4,8.35,4.94,7.5,,11
1701,6.46,3.62,8.35,4.93,7.66,,11
1702,6.13,2.01,8.36,4.94,7.92,,11
1703,5.84,2.49,8.36,4.93,8.09,,11
1704,5.32,1.8,8.25,4.91,7.82,,11
1705,4.92,1.58,7.92,4.93,8.01,,11
1706,4.51,-0.32,7.93,4.94,8.25,,11
1707,2.67,-1.45,7.72,5.19,8.08,,11
1708,0.09,-1.97,7.7,5.48,8.06,,11
1709,-1.41,-1.98,7.69,5.66,8.13,,11
1710,-1.6,-2.54,7.7,5.84,8.36,,11
1711,-1.31,-2.83,8.54,6.11,8.44,,11
1712,0.05,-1.45,8.98,6.29,8.58,,11
1713,2.0,3.05,9.69,6.12,9.09,,11
1714,5.58,9.65,10.62,6.32,9.95,,11
1715,9.61,12.22,10.87,6.69,9.92,,11
1716,9.91,11.85,11.12,6.75,10.26,,11
1717,9.38,12.81,11.16,7.07,9.97,,11
1718,8.04,12.15,11.15,7.18,9.6,,11
1719,7.33,11.01,10.86,7.85,9.5,,11
1720,4.9,7.41,10.85,8.6,9.13,,11
1721,1.83,3.82,10.99,8.47,8.89,,11
1722,0.44,2.23,11.18,8.36,8.76,,11
1723,-0.27,3.05,11.21,8.29,8.67,,11
1724,-1.3,0.85,11.21,8.35,8.64,,11
1725,-1.72,0.02,11.18,8.3,8.6,,11
1726,-1.78,-0.46,10.65,8.12,8.41,,11
1727,-2.55,-0.66,10.04,8.36,8.4,,11
1728,-2.56,-1.29,9.87,8.08,8.36,,11
1729,-2.59,-1.61,9.89,7.99,8.35,,11
1730,-2.88,-1.74,9.78,7.78,8.36,,11
1731,-2.24,2.0,9.5,7.58,8.36,,11
1732,-1.65,4.43,8.73,7.11,8.36,,11
1733,-1.52,3.86,7.94,7.02,8.29,,11
1734,-1.63,5.7,7.7,6.7,8.35,,11
1735,-1.8,6.49,7.55,6.38,8.36,,11
1736,-0.31,6.33,7.72,5.95,8.36,,11
1737,1.68,7.87,7.21,6.16,8.55,,11
1738,3.63,10.66,7.08,6.28,8.8,,11
1739,5.37,11.41,7.12,6.65,9.0,,11
1740,7.72,11.79,6.13,7.1,9.27,,11
1741,6.39,11.24,7.06,7.34,9.44,,11
1742,9.42,11.23,6.93,7.2,9.2,,11
1743,8.4,10.75,5.47,6.67,9.07,,11
1744,4.67,6.13,4.01,6.22,9.01,,11
1745,1.04,2.69,3.28,5.87,8.99,,11
1746,-0.7,1.93,4.02,5.07,9.0,,11
1747,-1.55,2.02,3.93,4.94,9.27,,11
1748,-1.86,2.05,4.4,5.07,9.28,,11
1749,-1.12,2.19,4.63,5.38,9.36,,11
1750,-1.37,2.43,4.54,4.75,9.41,,11
1751,-2.12,2.54,4.05,3.72,9.32,,11
1752,-3.45,2.54,4.34,3.87,9.06,,11
1753,-4.37,2.03,4.1,3.93,9.01,,11
1754,-4.83,2.19,3.79,3.96,9.42,,11
1755,-5.06,2.35,3.45,4.11,9.58,,11
1756,-5.25,1.33,3.37,4.34,9.56,,11
1757,-6.06,0.82,3.43,4.51,9.24,,11
1758,-6.04,-0.05,3.24,4.08,9.0,,11
1759,-5.62,-0.81,3.09,4.24,8.99,,11
1760,-4.36,0.55,3.24,4.56,9.22,,11
1761,-0.13,5.37,3.28,7.38,9.56,,11
1762,2.52,7.54,3.67,10.17,10.0,,11
1763,7.03,9.87,3.5,9.8,10.12,,11
1764,9.87,9.71,3.56,9.76,10.05,,11
1765,10.61,10.82,3.72,9.16,9.71,,11
1766,10.84,10.06,3.81,9.16,9.99,,11
1767,10.22,8.74,3.51,8.57,10.89,,11
1768,5.59,7.37,2.54,7.0,10.58,,11
1769,1.28,6.53,2.13,6.6,9.56,,11
1770,-0.47,6.3,2.04,7.21,9.79,,11
1771,-1.57,5.3,1.74,7.31,9.89,,11
1772,-2.1,4.64,1.27,7.13,9.51,,11
1773,-2.56,4.74,0.92,7.35,8.96,,11
1774,-2.92,4.45,0.73,7.28,8.68,,11
1775,-3.2,4.23,0.15,6.88,8.31,,11
1776,-3.34,4.09,-0.02,6.38,7.23,,11
1777,-3.17,3.85,-0.33,6.38,7.49,,11
1778,-3.29,4.03,-0.69,6.45,6.92,,11
1779,-2.69,4.41,-0.84,6.47,6.42,,11
1780,-2.35,4.1,-0.99,6.5,6.47,,11
1781,-2.37,3.99,-0.97,6.69,6.85,,11
1782,-2.29,3.37,-0.83,6.85,6.93,,11
1783,-2.02,3.33,-0.81,7.09,6.1,,11
1784,-0.77,3.4,-0.55,7.4,6.43,,11
1785,1.39,4.52,0.51,8.0,7.29,,11
1786,5.37,6.43,1.63,8.27,8.9,,11
1787,9.12,7.77,2.59,8.42,10.42,,11
1788,9.62,9.53,2.89,8.61,10.75,,11
1789,10.83,9.0,3.41,8.34,11.01,,11
1790,11.43,8.62,3.74,8.17,9.81,,11
1791,9.28,7.08,2.28,8.29,9.31,,11
1792,5.39,4.46,0.52,7.85,8.61,,11
1793,1.52,2.99,-0.07,7.47,8.36,,11
1794,0.17,1.75,-0.16,7.4,8.3,,11
1795,-1.05,1.45,-0.16,7.16,8.11,,11
1796,-1.75,0.87,-0.36,6.99,7.91,,11
1797,-1.77,0.62,-1.51,6.82,7.7,,11
1798,-2.45,0.43,-2.51,6.85,7.71,,11
1799,-2.09,0.47,-2.75,6.81,7.8,,11
1800,-1.89,-0.23,-1.47,6.74,7.61,,11
1801,-2.18,-0.57,-0.87,6.37,7.71,,11
1802,-1.83,-0.43,-0.47,6.33,7.84,,11
1803,-1.95,-0.27,0.68,6.41,7.82,,11
1804,-2.39,-0.53,1.81,6.39,7.8,,11
1805,-2.53,-0.78,1.54,6.43,7.73,,11
1806,-2.1,-1.29,1.92,6.47,7.84,,11
1807,0.15,-1.35,3.3,6.45,7.96,,11
1808,3.84,-0.73,3.68,6.59,8.03,,11
1809,8.08,0.91,5.34,7.1,8.35,,11
1810,11.22,2.54,6.57,7.7,8.65,,11
1811,13.22,3.6,7.21,9.1,8.72,,11
1812,14.07,4.37,7.4,9.19,8.87,,11
1813,14.58,4.84,7.59,9.48,9.22,,11
1814,12.18,4.76,8.49,8.99,9.24,,11
1815,11.66,3.72,8.0,8.11,9.0,,11
1816,8.35,1.95,7.87,6.65,8.97,,11
1817,6.46,0.95,8.09,4.74,8.74,,11
1818,4.99,0.64,7.71,5.15,9.08,,11
1819,3.89,0.07,6.98,5.1,9.3,,11
1820,3.44,-0.21,6.3,4.19,9.31,,11
1821,1.82,-0.5,5.96,3.32,9.23,,11
1822,0.82,-0.9,5.27,3.41,9.0,,11
1823,-0.16,-1.17,4.8,5.25,8.99,,11
1824,-0.32,-1.64,4.23,6.23,9.36,,11
1825,-0.35,-1.48,3.67,6.91,9.89,,11
1826,-0.62,-0.94,3.16,6.72,10.03,,11
1827,-1.14,0.28,4.04,4.99,9.88,,11
1828,-1.68,0.17,5.33,3.6,9.7,,11
1829,-1.07,0.52,6.77,4.1,9.68,,11
1830,-0.35,-0.02,7.06,2.98,9.79,,11
1831,0.46,0.11,7.09,2.3,10.09,,11
1832,0.04,0.91,6.64,2.78,10.38,,11
1833,4.3,2.14,6.02,7.16,10.77,,11
1834,4.65,3.49,6.23,12.16,10.82,,11
1835,9.38,5.13,6.77,13.99,10.8,,11
1836,9.69,6.34,8.11,15.32,10.82,,11
1837,8.89,6.94,8.23,14.03,10.82,,11
1838,9.96,6.9,8.39,13.69,10.82,,11
1839,10.01,6.94,8.44,11.31,10.96,,11
1840,6.08,4.4,8.38,9.77,10.79,,11
1841,2.73,2.21,8.03,7.68,10.56,,11
1842,1.1,2.36,8.1,5.75,10.81,,11
1843,-0.02,2.58,7.95,4.27,10.82,,11
1844,-0.24,2.67,7.39,3.34,10.82,,11
1845,-0.7,1.98,7.19,2.74,10.82,,11
1846,-0.83,1.45,7.24,2.35,10.82,,11
1847,-1.28,-1.15,7.68,2.29,10.82,,11
1848,-2.23,-1.87,6.87,2.38,NaN,,12
1849,-1.72,-1.75,5.81,2.02,NaN,,12
1850,-2.55,-0.67,5.93,1.03,NaN,,12
1851,-2.98,-0.77,6.14,0.94,NaN,,12
1852,-3.27,-1.53,5.95,0.43,NaN,,12
1853,-2.57,-2.31,5.72,0.34,NaN,,12
1854,-1.93,-2.58,5.24,0.26,NaN,,12
1855,-1.96,-1.7,5.14,-0.36,NaN,,12
1856,-0.66,-1.26,4.91,0.94,NaN,,12
1857,0.79,1.91,6.01,5.98,NaN,,12
1858,3.87,6.72,7.12,13.08,NaN,,12
1859,8.19,8.83,7.46,16.8,NaN,,12
1860,11.69,9.68,8.07,17.11,NaN,,12
1861,11.76,10.65,7.48,17.13,NaN,,12
1862,11.37,11.41,7.26,15.73,NaN,,12
1863,8.82,10.64,6.69,14.52,NaN,,12
1864,6.47,7.43,5.32,10.11,NaN,,12
1865,6.74,2.52,3.31,5.7,NaN,,12
1866,6.5,0.44,2.88,3.86,NaN,,12
1867,5.49,-0.36,2.42,2.79,NaN,,12
1868,4.97,-1.04,2.71,1.79,NaN,,12
1869,4.67,-1.79,2.39,1.24,NaN,,12
1870,4.03,-2.27,2.4,0.31,NaN,,12
1871,4.15,-1.64,3.2,0.39,NaN,,12
1872,4.14,5.7,3.12,-0.1,NaN,,12
1873,4.31,6.31,3.39,-0.66,NaN,,12
1874,4.27,6.03,3.94,-1.24,NaN,,12
1875,3.96,5.67,4.24,-1.32,NaN,,12
1876,3.67,5.52,4.33,-1.47,NaN,,12
1877,3.38,5.96,4.36,-1.53,NaN,,12
1878,2.96,6.26,4.52,-1.64,NaN,,12
1879,2.49,6.27,4.42,-1.57,NaN,,12
1880,2.82,6.81,4.72,-0.08,NaN,,12
1881,5.14,8.03,5.57,4.16,NaN,,12
1882,7.38,9.22,6.42,10.83,NaN,,12
1883,9.04,10.19,6.55,15.6,NaN,,12
1884,9.99,11.36,6.7,17.48,NaN,,12
1885,8.66,11.91,8.16,19.28,NaN,,12
1886,6.92,12.97,7.05,20.26,NaN,,12
1887,6.33,11.44,6.76,17.94,NaN,,12
1888,5.65,7.59,6.13,11.72,NaN,,12
1889,4.68,5.07,5.22,5.21,NaN,,12
1890,3.5,5.38,5.13,3.89,NaN,,12
1891,3.15,5.54,4.79,3.54,NaN,,12
1892,3.32,6.01,4.8,3.16,NaN,,12
1893,3.34,6.02,4.52,2.55,NaN,,12
1894,3.26,5.88,3.21,2.48,NaN,,12
1895,3.27,5.63,4.38,2.31,NaN,,12
1896,2.35,5.08,4.64,3.7,NaN,,12
1897,0.24,4.23,4.74,1.89,NaN,,12
1898,-1.31,4.41,4.24,1.01,NaN,,12
1899,-1.9,3.82,4.75,0.95,NaN,,12
1900,-2.63,3.29,4.61,0.61,NaN,,12
1901,-3.42,2.91,4.87,0.24,NaN,,12
1902,-2.87,3.32,4.99,-0.12,NaN,,12
1903,-2.24,2.29,5.0,-0.46,NaN,,12
1904,0.6,1.66,5.22,0.56,NaN,,12
1905,3.08,5.52,5.62,4.96,NaN,,12
1906,5.06,10.53,6.2,5.36,NaN,,12
1907,9.01,14.24,7.28,9.06,NaN,,12
1908,10.47,13.54,7.77,9.56,NaN,,12
1909,10.3,13.2,7.66,5.89,NaN,,12
1910,7.06,12.81,8.38,6.39,NaN,,12
1911,6.5,11.69,7.28,6.64,NaN,,12
1912,4.74,8.11,7.07,6.7,NaN,,12
1913,2.42,3.31,7.95,6.38,NaN,,12
1914,2.04,1.4,7.53,5.96,NaN,,12
1915,2.73,0.16,7.21,5.85,NaN,,12
1916,2.12,-1.03,6.74,5.14,NaN,,12
1917,1.23,-1.57,6.91,3.51,NaN,,12
1918,0.42,-1.6,7.6,2.36,NaN,,12
1919,0.18,-2.49,7.88,0.78,NaN,,12
1920,1.85,-2.51,7.27,-0.29,NaN,,12
1921,1.93,-2.99,7.15,0.04,NaN,,12
1922,1.18,-3.51,7.22,1.55,NaN,,12
1923,-0.06,-3.77,6.75,4.17,NaN,,12
1924,-0.91,-4.15,6.44,5.69,NaN,,12
1925,-2.14,-4.3,7.04,6.19,NaN,,12
1926,-1.15,-4.57,7.09,6.23,NaN,,12
1927,-2.21,-4.99,7.06,6.33,NaN,,12
1928,-0.71,-2.73,7.17,6.42,NaN,,12
1929,2.09,3.97,7.35,6.47,NaN,,12
1930,3.58,9.71,8.31,6.75,NaN,,12
1931,4.72,12.58,8.55,7.27,NaN,,12
1932,5.62,10.7,7.99,7.51,NaN,,12
1933,5.86,12.46,7.84,7.86,NaN,,12
1934,5.31,12.33,7.2,8.59,NaN,,12
1935,4.5,10.26,7.18,7.94,NaN,,12
1936,2.88,6.34,7.3,7.36,NaN,,12
1937,0.09,2.53,6.67,7.75,NaN,,12
1938,-0.88,0.77,5.88,8.34,NaN,,12
1939,-1.14,-0.08,5.87,7.37,NaN,,12
1940,-1.16,-0.14,6.09,7.11,NaN,,12
1941,-0.62,-0.41,6.89,7.1,NaN,,12
1942,1.44,-0.04,6.83,7.11,NaN,,12
1943,1.5,-0.03,6.66,7.09,NaN,,12
1944,1.11,0.01,5.93,6.77,NaN,,12
1945,0.08,-0.41,6.17,5.82,NaN,,12
1946,-0.84,-1.31,6.23,5.68,NaN,,12
1947,-1.39,-2.08,6.13,5.75,NaN,,12
1948,-1.91,-2.6,6.43,5.84,NaN,,12
1949,-1.75,-2.53,6.25,5.85,NaN,,12
1950,-2.34,-2.64,4.25,5.85,NaN,,12
1951,-2.24,-2.57,3.23,5.86,NaN,,12
1952,-2.28,-1.14,2.38,5.96,NaN,,12
1953,-0.36,5.38,5.3,6.31,NaN,,12
1954,2.08,11.22,6.03,6.71,NaN,,12
1955,3.79,11.46,8.34,6.59,NaN,,12
1956,5.45,11.71,12.33,7.09,NaN,,12
1957,4.51,11.5,11.51,7.23,NaN,,12
1958,3.27,10.4,8.64,7.88,NaN,,12
1959,2.16,8.57,7.76,8.52,NaN,,12
1960,0.88,6.9,7.18,8.65,NaN,,12
1961,-1.51,4.77,6.11,8.36,NaN,,12
1962,-2.91,2.86,4.61,8.51,NaN,,12
1963,-3.73,1.24,4.64,9.12,NaN,,12
1964,-3.79,0.25,3.85,9.16,NaN,,12
1965,-3.25,7.0,2.94,9.85,NaN,,12
1966,-2.81,9.46,2.11,9.74,NaN,,12
1967,-2.55,8.89,2.24,9.85,NaN,,12
1968,-2.71,8.25,2.2,9.89,NaN,,12
1969,-2.54,7.47,3.63,9.88,NaN,,12
1970,-2.77,7.51,4.55,9.99,NaN,,12
1971,-3.66,7.32,4.41,10.49,NaN,,12
1972,-4.67,7.14,4.63,10.29,NaN,,12
1973,-5.22,6.52,4.91,10.73,NaN,,12
1974,-4.5,6.06,5.18,10.92,NaN,,12
1975,-3.59,6.69,4.9,11.17,NaN,,12
1976,-2.74,7.4,4.63,11.38,NaN,,12
1977,-0.64,9.23,4.45,11.64,NaN,,12
1978,0.67,10.78,3.81,11.94,NaN,,12
1979,3.02,11.53,4.65,12.12,NaN,,12
1980,3.76,11.9,6.23,12.08,NaN,,12
1981,4.61,11.71,5.84,12.16,NaN,,12
1982,5.91,11.36,5.95,12.08,NaN,,12
1983,6.04,9.18,6.36,12.13,NaN,,12
1984,3.26,6.71,5.49,12.06,NaN,,12
1985,-0.78,5.42,4.09,12.02,NaN,,12
1986,-2.4,5.01,3.33,11.98,NaN,,12
1987,-3.35,4.79,2.92,6.95,NaN,,12
1988,-4.2,4.77,3.15,3.79,NaN,,12
1989,-4.7,4.18,2.91,2.67,NaN,,12
1990,-5.87,3.94,2.9,2.53,NaN,,12
1991,-6.02,3.49,3.6,1.93,NaN,,12
1992,-6.19,3.06,2.55,0.94,NaN,,12
1993,-6.47,3.05,1.91,1.08,NaN,,12
1994,-6.21,2.88,3.41,1.28,NaN,,12
1995,-6.5,2.45,2.56,1.43,NaN,,12
1996,-5.34,2.33,0.89,1.48,NaN,,12
1997,-3.83,1.72,0.53,1.47,NaN,,12
1998,-3.1,1.69,1.12,2.15,NaN,,12
1999,-2.96,1.21,0.06,2.96,NaN,,12
2000,-3.24,1.82,1.05,3.63,NaN,,12
2001,0.88,3.34,3.35,4.15,NaN,,12
2002,5.3,5.14,5.99,4.59,NaN,,12
2003,8.32,6.41,6.11,5.55,NaN,,12
2004,10.67,6.7,6.3,5.76,NaN,,12
2005,10.88,8.96,6.77,6.95,NaN,,12
2006,10.79,7.95,6.85,5.99,NaN,,12
2007,9.88,6.59,5.81,6.14,NaN,,12
2008,7.13,4.45,4.43,4.97,NaN,,12
2009,6.09,0.7,4.16,4.19,NaN,,12
2010,5.22,-1.09,4.14,3.78,NaN,,12
2011,4.51,-2.22,3.92,3.49,NaN,,12
2012,4.58,-3.17,4.0,3.76,NaN,,12
2013,4.57,-4.03,3.92,3.06,NaN,,12
2014,4.0,-4.2,3.77,3.25,NaN,,12
2015,3.32,-4.51,3.78,3.21,NaN,,12
2016,2.39,-5.11,3.6,2.43,NaN,,13
2017,2.23,-5.13,3.53,2.35,NaN,,13
2018,2.61,-5.65,3.62,2.34,NaN,,13
2019,2.54,-6.59,3.51,2.03,NaN,,13
2020,2.56,-6.6,3.33,1.3,NaN,,13
2021,2.17,-6.48,3.97,0.95,NaN,,13
2022,1.86,-6.5,4.5,0.83,NaN,,13
2023,1.84,-6.67,3.79,0.28,NaN,,13
2024,2.14,-4.49,3.98,0.15,NaN,,13
2025,2.51,0.18,4.78,1.5,NaN,,13
2026,3.35,6.15,5.09,2.83,NaN,,13
2027,3.59,7.39,4.84,3.83,NaN,,13
2028,4.05,8.46,5.72,4.14,NaN,,13
2029,4.86,7.08,5.61,4.58,NaN,,13
2030,4.66,5.58,5.7,4.29,NaN,,13
2031,4.45,4.91,4.05,3.12,NaN,,13
2032,3.66,3.79,2.4,1.05,NaN,,13
2033,3.2,3.1,2.1,0.35,NaN,,13
2034,2.8,2.65,2.2,-0.01,NaN,,13
2035,1.92,5.24,1.67,0.01,NaN,,13
2036,0.53,7.03,1.83,-0.14,NaN,,13
2037,-0.14,7.1,1.24,-0.95,NaN,,13
2038,0.27,6.78,0.0,-2.1,NaN,,13
2039,-0.1,5.98,0.79,-2.1,NaN,,13
2040,0.03,6.53,1.52,-2.26,NaN,,13
2041,-0.06,4.71,2.04,-2.17,NaN,,13
2042,0.25,4.76,1.76,-2.03,NaN,,13
2043,0.78,5.7,1.55,-2.08,NaN,,13
2044,1.04,5.92,1.6,-1.97,NaN,,13
2045,1.19,4.11,1.86,-2.49,NaN,,13
2046,1.29,3.64,2.1,-2.58,NaN,,13
2047,1.62,3.9,2.09,-3.15,NaN,,13
2048,2.08,4.92,2.1,-3.07,NaN,,13
2049,2.53,7.1,2.82,-0.26,NaN,,13
2050,3.53,9.12,3.8,1.97,NaN,,13
2051,4.08,10.25,5.01,4.03,NaN,,13
2052,4.38,11.28,7.14,5.77,NaN,,13
2053,4.71,12.22,6.92,6.33,NaN,,13
2054,4.83,12.64,6.81,6.36,NaN,,13
2055,3.6,11.76,5.5,5.49,NaN,,13
2056,3.34,8.7,4.13,2.87,NaN,,13
2057,3.61,3.76,3.09,1.23,NaN,,13
2058,3.23,1.11,2.37,1.16,NaN,,13
2059,1.3,0.11,1.57,0.52,NaN,,13
2060,0.08,-0.57,0.39,0.16,NaN,,13
2061,-1.45,-0.73,-0.26,0.22,NaN,,13
2062,-2.29,0.12,-0.37,-0.14,NaN,,13
2063,-2.49,0.63,0.46,-1.01,NaN,,13
2064,-1.79,0.88,1.35,-0.87,NaN,,13
2065,-0.31,-0.22,1.45,-2.13,NaN,,13
